Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population"
Baltimore Central Booking and Intake Center,7,6,1,0,0,4,3,798
Baltimore City Correctional Center,3,1,2,0,0,2,1,446
Brockbridge Correctional Facility,1,1,0,0,0,0,1,243
Baltimore Pretrial Facility - Jessup,2,2,0,0,0,0,2,344
Chesapeake Detention Facility,2,1,0,0,1,2,0,358
Central Maryland Correctional Facility,3,1,2,0,0,0,3,482
Dorsey Run Correctional Facility,7,2,5,0,0,2,5,915
Eastern Correctional Institution,34,16,17,0,1,15,19,2678
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,576
Eastern Pre-Release Unit,1,1,0,0,0,0,1,240
Jessup Correctional Institution,7,6,1,0,0,3,4,1820
Maryland Correctional Institution - Hagerstown,6,4,0,2,0,2,4,630
Maryland Correctional Institution - Jessup,4,2,2,0,0,3,1,757
Maryland Correctional Institution for Women,14,8,5,1,0,4,10,698
Maryland Correctional Training Center,20,5,15,0,0,10,10,2883
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,1,1,445
Metropolitan Transition Center,3,1,2,0,0,2,1,730
North Branch Correctional Institution,15,8,7,0,0,5,10,1268
Patuxent Institution,11,7,4,0,0,7,4,907
Roxbury Correctional Institution,19,9,10,0,0,8,11,1762
Southern Maryland Pre-Release Unit,1,1,0,0,0,0,1,144
Threshold,0,0,0,0,0,0,0,29
Western Correctional Institution,15,6,7,1,1,8,7,1528
Youth Detention Center,0,0,0,0,0,0,0,45
