Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population"
Baltimore Central Booking and Intake Center,25,12,12,1,0,21,4,980
Baltimore City Correctional Center,2,1,1,0,0,1,1,330
Chesapeake Detention Facility,7,3,4,0,0,6,1,356
Central Maryland Correctional Facility,1,1,0,0,0,0,1,249
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,712
Eastern Correctional Institution,11,7,4,0,0,5,6,2254
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,468
Jessup Correctional Institution,4,2,2,0,0,3,1,1679
Maryland Correctional Institution - Hagerstown,4,0,4,0,0,3,1,923
Maryland Correctional Institution - Jessup,6,4,2,0,0,2,4,669
Maryland Correctional Institution for Women,6,2,2,2,0,4,2,480
Maryland Correctional Training Center,17,4,11,2,0,12,5,1981
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,0,2,544
Metropolitan Transition Center,4,3,1,0,0,3,1,604
North Branch Correctional Institution,9,4,5,0,0,3,6,1061
Patuxent Institution,8,6,1,1,0,3,5,621
Roxbury Correctional Institution,12,8,4,0,0,8,4,1470
Western Correctional Institution,22,10,10,2,0,15,7,1555
Youth Detention Center,1,1,0,0,0,0,1,58
