Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population"
Baltimore Central Booking and Intake Center,19,7,6,0,6,13,6,840
Baltimore City Correctional Center,1,0,0,0,1,0,1,483
Baltimore Pre-trial Complex,1,0,1,0,0,1,0,544
Brockbridge Correctional Facility,9,6,1,0,2,4,5,608
Central Maryland Correctional Facility,4,2,1,0,1,1,3,484
Chesapeake Detention Facility,4,2,1,0,1,2,2,444
Dorsey Run Correctional Facility,5,4,1,0,0,2,3,802
Eastern Correctional Institution,65,48,16,0,1,21,44,2763
Eastern Correctional Institution Annex,1,0,1,0,0,1,0,572
Eastern Pre-Release Unit,0,0,0,0,0,0,0,173
Jessup Correctional Institution,15,8,2,0,5,4,11,1473
Maryland Correctional Institution - Hagerstown,7,0,5,0,2,6,1,899
Maryland Correctional Institution - Jessup,10,6,1,0,3,4,6,1041
Maryland Correctional Institution for Women,9,8,0,0,1,1,8,786
Maryland Correctional Training Center,25,13,11,0,1,12,13,2830
Maryland Correctional Transportation Unit,1,0,1,0,0,1,0,na
"Maryland Reception, Diagnostic and Classification Center",6,1,2,0,3,2,4,638
Metropolitan Transition Center,6,0,4,0,2,4,2,470
North Branch Correctional Institution,15,6,8,0,1,4,11,1218
Patuxent Institution,17,14,3,0,0,7,10,800
Poplar Hill Pre-Release Unit,1,1,0,0,0,0,1,112
Roxbury Correctional Institution,18,6,8,0,4,14,4,1756
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,140
Threshold,1,1,0,0,0,0,1,30
Western Correctional Institution,24,13,10,0,1,9,15,1636
