Facility Name,"Reported
Incidents","Disposition
Unfounded","Disposition
Unsubstantiated","Disposition
Substantiated","Open
Cases","Inmate on
Inmate","Staff on
Inmate","Average
Daily
Population"
Baltimore Central Booking and Intake Center,20,14,5,0,1,15,5,939
Baltimore City Correctional Center,4,1,2,0,1,4,0,465
Chesapeake Detention Facility,2,1,1,0,0,1,1,271
Central Maryland Correctional Facility,0,0,0,0,0,0,0,230
Dorsey Run Correctional Facility,5,3,1,1,0,3,2,776
Eastern Correctional Institution,25,14,7,0,4,21,4,2448
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,389
Jessup Correctional Institution,22,17,5,0,0,11,11,1975
Maryland Correctional Institution - Hagerstown,7,0,4,2,1,3,4,824
Maryland Correctional Institution - Jessup,9,7,1,0,1,4,5,709
Maryland Correctional Institution for Women,14,9,4,1,0,8,6,604
Maryland Correctional Training Center,21,4,15,1,1,14,7,2127
"Maryland Reception, Diagnostic and Classification Center",2,1,1,0,0,1,1,505
Metropolitan Transition Center,2,2,0,0,0,1,1,584
North Branch Correctional Institution,12,5,6,0,1,1,11,1066
Patuxent Institution,16,11,3,0,2,9,7,593
Roxbury Correctional Institution,14,4,9,1,0,11,3,1719
Western Correctional Institution,20,6,13,0,1,12,8,1518
Youth Detention Center,0,0,0,0,0,0,0,100
