PREA INCIDENT REPORTS - 2016
Average,Reports
Reported Disposition Disposition Disposition Open Inmate on Staff on Daily per,100
Baltimore Central Booking and Intake Center,14,3,7,1,3,9,5,794,1.76
Baltimore City Correctional Center,0,0,0,0,0,0,0,496,0.00
Baltimore City Detention Center,3,0,2,0,1,1,2,2299,0.13
Baltimore Pre-Release Unit (closed),1,1,0,0,0,0,1,na,na
Brockbridge Correctional Facility,6,0,3,0,3,2,4,420,1.43
Central Maryland Correctional Facility,3,2,1,0,0,1,2,446,0.67
Chesapeake Detention Facility,5,2,2,0,1,2,3,389,1.29
Dorsey Run Correctional Facility,7,4,3,0,0,1,6,538,1.30
Eastern Correctional Institution,48,21,27,0,0,11,37,2675,1.79
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,595,0.00
Eastern Pre-Release Unit,0,0,0,0,0,0,0,170,0.00
Jessup Correctional Institution,22,4,12,0,6,9,13,1767,1.25
Maryland Correctional Institution - Hagerstown,15,6,8,0,1,9,6,1661,0.90
Maryland Correctional Institution - Jessup,6,2,3,0,1,0,6,1044,0.57
Maryland Correctional Institution for Women,25,9,10,0,6,11,14,812,3.08
Maryland Correctional Training Center,29,11,17,0,1,11,18,2470,1.17
Maryland Correctional Transportation Unit,0,0,0,0,0,0,0,na,na
"Maryland Reception, Diagnostic and Classification Center",6,2,3,0,1,3,3,710,0.85
Metropolitan Transition Center,4,1,1,0,2,1,3,581,0.69
North Branch Correctional Institution,15,12,3,0,0,5,10,1339,1.12
Patuxent Institution,15,6,6,0,3,7,8,874,1.72
Poplar Hill Pre-Release Unit,0,0,0,0,0,0,0,130,0.00
Roxbury Correctional Institution,18,9,7,0,2,10,8,1720,1.05
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,165,0.00
Threshold,0,0,0,0,0,0,0,30,0.00
Western Correctional Institution,20,12,7,0,1,7,13,1593,1.26
TOTALS,262,107,122,1,32,100,162,23718,1.10
