PREA INCIDENT REPORTS -2014
Average,Rsp,orts
Reported Disposition Disposition Disposition Open Inmate on Stan on Daily per,100
Facility Name locldenll Unfounded Uosubsuu,111auu1,8ob1U1nllal11d,Case,Inmate,Inmate,Populatlon,Inmates
Baltimore Central Booking and Intake Center,2,1,0,0,1,2,0,875,0.23
Baltimore City Correctional Center,2,1,1,0,0,0,2,493,0.41
Baltimore City Detention Center,11,3,7,0,1,8,3,2526,0.44
Baltimore Pre-Release Unit,0,0,0,0,0,0,0,186,0.00
Brockbridge Correctional Facility,3,0,2,0,1,3,0,447,0.67
Central Maryland Correctional Facility,1,0,1,0,0,0,1,454,0.22
Chesapeake Detention Facility,1,0,1,0,0,1,0,429,0.23
Dorsey Run Correctional Facility,0,0,0,0,0,0,0,464,0.00
Eastern Correctional Institution,19,8,11,0,0,7,12,2663,"0,71"
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,593,0.00
Eastern Pre-Release Unit,0,0,0,0,0,0,0,172,0.00
Jessup Correctional Institution,4,0,3,0,1,1,3,1745,0.23
Maryland Correctional Institution -Hagerstown,10,5,5,0,0,7,3,1853,0.54
Maryland Correctional Institution -Jessup,3,1,2,0,0,1,2,1032,0.29
Maryland Correctional Institution for Women,6,4,2,0,0,1,5,802,0.75
Maryland Correctional Training Center,7,4,3,0,0,3,4,2479,0.28
"Maryland Reception, Diagnostic and Classification Center",3,0,1,1,1,2,1,710,0.42
lllletropolitan Transition Center,3,0,1,0,2,3,0,581,0.52
North Branch Correctional Institution,15,3,11,0,1,8,7,1386,1.08
Patuxent Institution,16,6,10,0,0,12,4,899,1.78
Poplar Hill Pre-Release Unit,0,0,0,0,0,0,0,163,0.00
Roxbury Correctional Institution,8,1,7,0,0,5,3,1686,0.47
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,169,0.00
Threshold,0,0,0,0,0,0,0,30,0,00
Western Correctional Institution,20,5,15,0,0,12,8,1602,1.25
TOTALS,134,42,83,1,8,76,58,24439,0.55
