PREA INCIDENT REPORTS - 2017
Average,Reports
Reported Disposition Disposition Disposition Inmate on Staff on Daily per,100
Baltimore Central Booking and Intake Center,19,7,6,0,6,13,6,840,2.26
Baltimore City Correctional Center,1,0,0,0,1,0,1,483,0.21
Baltimore Pre-trial Complex*,1,0,1,0,0,1,0,544,0.18
Brockbridge Correctional Facility,9,6,1,0,2,4,5,608,1.48
Central Maryland Correctional Facility,4,2,1,0,1,1,3,484,0.83
Chesapeake Detention Facility,4,2,1,0,1,2,2,444,0.90
Dorsey Run Correctional Facility,5,4,1,0,0,2,3,802,0.62
Eastern Correctional Institution,65,48,16,0,1,21,44,2763,2.35
Eastern Correctional Institution Annex,1,0,1,0,0,1,0,572,0.17
Eastern Pre-Release Unit,0,0,0,0,0,0,0,173,0.00
Jessup Correctional Institution,15,8,2,0,5,4,11,1473,1.02
Maryland Correctional Institution - Hagerstown,7,0,5,0,2,6,1,899,0.78
Maryland Correctional Institution - Jessup,10,6,1,0,3,4,6,1041,0.96
Maryland Correctional Institution for Women,9,8,0,0,1,1,8,786,1.15
Maryland Correctional Training Center,25,13,11,0,1,12,13,2830,0.88
Maryland Correctional Transportation Unit,1,0,1,0,0,1,0,na,na
"Maryland Reception, Diagnostic and Classification Center",6,1,2,0,3,2,4,638,0.94
Metropolitan Transition Center,6,0,4,0,2,4,2,470,1.28
North Branch Correctional Institution,15,6,8,0,1,4,11,1218,1.23
Patuxent Institution,17,14,3,0,0,7,10,800,2.13
Poplar Hill Pre-Release Unit*,1,1,0,0,0,0,1,112,0.89
Roxbury Correctional Institution,18,6,8,0,4,14,4,1756,1.03
Southern Maryland Pre-Release Unit,0,0,0,0,0,0,0,140,0.00
Threshold,1,1,0,0,0,0,1,30,3.33
Western Correctional Institution,24,13,10,0,1,9,15,1636,1.47
TOTAL,264,146,83,0,35,113,151,21542,1.23
Reported Disposition Disposition Disposition Inmate on Staff on Daily per,100
Baltimore Central Booking and Intake Center,7,1,4,0,2,5,2,888,0.79
Baltimore City Correctional Center,4,3,1,0,0,0,4,430,0.93
Brockbridge Correctional Facility,8,6,1,0,1,1,7,497,1.61
Central Maryland Correctional Facility,7,2,4,0,1,3,4,491,1.43
Chesapeake Detention Facility,3,2,1,0,0,1,2,426,0.70
Dorsey Run Correctional Facility,13,11,1,0,1,3,10,814,1.60
Eastern Correctional Institution,31,25,3,3,0,14,17,2657,1.17
Eastern Correctional Institution Annex,0,0,0,0,0,0,0,586,0.00
Eastern Pre-Release Unit,1,1,0,0,0,0,1,167,0.60
Jessup Correctional Institution,22,19,2,0,1,7,15,1839,1.20
Maryland Correctional Institution - Hagerstown,8,4,2,0,2,2,6,628,1.27
Maryland Correctional Institution - Jessup,3,1,2,0,0,3,0,671,0.45
Maryland Correctional Institution for Women,5,4,1,0,0,3,2,759,0.66
Maryland Correctional Training Center,20,9,9,0,2,9,11,2830,0.71
Maryland Correctional Transportation Unit,1,1,0,0,0,0,1,na,na
"Maryland Reception, Diagnostic and Classification Center",4,3,1,0,0,3,1,552,0.72
Metropolitan Transition Center,3,2,1,0,0,3,0,703,0.43
North Branch Correctional Institution,17,3,8,0,6,3,14,1214,1.40
Patuxent Institution,14,10,3,1,0,1,13,1059,1.32
Roxbury Correctional Institution,6,3,2,0,1,1,5,1740,0.34
Southern Maryland Pre-Release Unit,1,0,1,0,0,0,1,152,0.66
Threshold,0,0,0,0,0,0,0,30,0.00
Western Correctional Institution,21,11,7,0,3,10,11,1624,1.29
Youth Detention Center,0,0,0,0,0,0,0,33,0.00
TOTAL,199,120,55,4,20,72,127,20790,0.96
Page |,7
